mid,team,dt,arguable,converge,disagree,delim,nonarg,bgiveinfo,bgiveopin,bgivesug,baskinfo,baskopin,basksug,bsolid,btension,bagree,bdisagree,btensh,bantag,iam1,iam2,iam3,iam4,iam5,disput,cumul,explor,qset,qprop,directive,commissive,feedback,proact,struct,coop,cprod,ginfo,ktrans,namep,names,linkp,links,linkc,week,coord_comp,delib_comp,balance
2024.10.14startup_a,startup_a,2024-10-14,2.377049180327869,1.459016393442623,0.39344262295081966,1.2131147540983607,1.360655737704918,1.7049180327868851,1.8852459016393444,1.360655737704918,0.29508196721311475,0.4262295081967213,0.06557377049180328,1.2295081967213115,0.14754098360655737,1.3770491803278688,0.39344262295081966,0.18032786885245902,0.01639344262295082,1.7868852459016393,0.4426229508196721,1.278688524590164,0.3114754098360656,0.6229508196721312,0.06557377049180328,1.098360655737705,1.3114754098360655,0.6721311475409836,1.0491803278688525,0.9836065573770492,0.2786885245901639,1.1639344262295082,1.1639344262295082,1.1147540983606556,0.36065573770491804,0.16393442622950818,1.3770491803278688,1.1967213114754098,0.7704918032786885,0.8524590163934426,0.6557377049180327,0.7213114754098361,0.6065573770491803,1,0.2007106006095956,-0.18681250736464367,0.3875231079742393
2024.10.25startup_a,startup_a,2024-10-25,3.3389830508474576,1.5423728813559323,0.3728813559322034,1.7457627118644068,0.7966101694915254,2.3220338983050848,2.0,1.3220338983050848,0.576271186440678,0.4067796610169492,0.2033898305084746,1.11864406779661,0.11864406779661017,0.9661016949152542,0.2033898305084746,0.4406779661016949,0.0,2.1864406779661016,0.3898305084745763,1.4745762711864407,0.559322033898305,0.6271186440677966,0.01694915254237288,1.1864406779661016,1.1694915254237288,0.576271186440678,0.864406779661017,0.423728813559322,0.3050847457627119,1.0508474576271187,1.1694915254237288,0.711864406779661,0.3559322033898305,0.05084745762711865,1.3559322033898304,1.1694915254237288,0.8135593220338984,0.8983050847457628,0.6271186440677966,0.6779661016949152,0.2033898305084746,2,-0.3290548044292913,0.11596507962465608,-0.4450198840539474
2024.11.04startup_a,startup_a,2024-11-04,2.6271186440677967,1.2881355932203389,0.03389830508474576,1.2203389830508475,0.6440677966101694,2.152542372881356,1.9830508474576272,1.2203389830508475,0.3050847457627119,0.23728813559322035,0.05084745762711865,1.305084745762712,0.1694915254237288,1.271186440677966,0.03389830508474576,0.06779661016949153,0.0,2.1186440677966103,0.0847457627118644,1.0338983050847457,0.4576271186440678,0.6101694915254238,0.01694915254237288,1.2203389830508475,1.3559322033898304,0.2542372881355932,0.7966101694915254,0.5932203389830508,0.4915254237288136,1.2881355932203389,1.271186440677966,0.847457627118644,0.423728813559322,0.03389830508474576,1.5084745762711864,0.9322033898305084,0.6779661016949152,0.8135593220338984,0.576271186440678,0.2542372881355932,0.1864406779661017,3,-0.23100709615285608,-0.6465855829867871,0.41557848683393106
2024.11.11startup_a,startup_a,2024-11-11,2.9491525423728815,1.3559322033898304,0.3220338983050847,1.2203389830508475,0.7457627118644068,2.76271186440678,2.152542372881356,1.2203389830508475,0.423728813559322,0.22033898305084745,0.06779661016949153,1.1694915254237288,0.06779661016949153,0.9661016949152542,0.2711864406779661,0.1016949152542373,0.0,2.6440677966101696,0.3220338983050847,0.8983050847457628,0.11864406779661017,0.5254237288135594,0.05084745762711865,1.11864406779661,1.3559322033898304,0.3050847457627119,0.7796610169491526,0.8305084745762712,0.3389830508474576,1.3220338983050848,1.1694915254237288,1.5423728813559323,0.4915254237288136,0.06779661016949153,1.5932203389830508,0.864406779661017,0.6101694915254238,0.8305084745762712,0.3898305084745763,0.3050847457627119,0.3559322033898305,4,-0.07230567813792074,-0.6681955363419838,0.595889858204063
2024.11.18startup_a,startup_a,2024-11-18,2.966666666666667,1.25,0.3,1.25,0.8,1.9166666666666667,2.0166666666666666,1.1833333333333333,0.31666666666666665,0.26666666666666666,0.11666666666666667,1.0166666666666666,0.1,0.9833333333333333,0.13333333333333333,0.2,0.0,1.7666666666666666,0.25,1.2,0.38333333333333336,0.6833333333333333,0.03333333333333333,1.05,1.3,0.45,0.75,0.7,0.3333333333333333,0.7333333333333333,1.3833333333333333,1.05,0.6,0.016666666666666666,1.5833333333333333,1.3166666666666667,0.8,0.9166666666666666,0.5833333333333334,0.4666666666666667,0.35,5,-0.28809460970867773,-0.23921953309213798,-0.04887507661653975
2024.12.09startup_a,startup_a,2024-12-09,3.2950819672131146,1.819672131147541,0.2459016393442623,1.7377049180327868,1.3770491803278688,2.557377049180328,1.9344262295081966,1.4426229508196722,0.21311475409836064,0.29508196721311475,0.03278688524590164,1.1311475409836065,0.11475409836065574,1.2295081967213115,0.13114754098360656,0.08196721311475409,0.04918032786885246,2.377049180327869,0.2459016393442623,1.098360655737705,0.22950819672131148,0.8360655737704918,0.01639344262295082,1.0163934426229508,1.5737704918032787,0.48333333333333334,1.1166666666666667,0.95,0.5666666666666667,1.4333333333333333,1.2166666666666666,1.0166666666666666,0.45,0.11666666666666667,1.7666666666666666,1.35,0.85,1.1833333333333333,0.8,0.7833333333333333,0.38333333333333336,6,0.5047345485390208,0.521538342837211,-0.016803794298190233
2024.12.13startup_a,startup_a,2024-12-13,3.1206896551724137,1.5172413793103448,0.2413793103448276,1.3620689655172413,1.9310344827586208,2.8620689655172415,1.5862068965517242,1.6724137931034482,0.603448275862069,0.29310344827586204,0.06896551724137931,0.9655172413793104,0.1206896551724138,1.3275862068965518,0.1896551724137931,0.39655172413793105,0.0,2.8275862068965516,0.20689655172413793,1.2586206896551724,0.25862068965517243,0.8793103448275862,0.017241379310344827,1.0344827586206897,1.603448275862069,0.41379310344827586,0.5,0.6896551724137931,0.2413793103448276,1.3620689655172413,1.2586206896551724,1.1724137931034482,0.2413793103448276,0.06896551724137931,1.6206896551724137,0.8103448275862069,0.7586206896551724,0.8275862068965517,0.4482758620689655,0.1896551724137931,0.1724137931034483,7,0.08169595461228532,-0.4317049917897257,0.5134009464020111
2024.12.23startup_a,startup_a,2024-12-23,2.783333333333333,1.2333333333333334,0.3,1.2333333333333334,0.7833333333333333,2.966666666666667,2.05,1.2166666666666666,0.31666666666666665,0.2,0.03333333333333333,0.3,0.03333333333333333,1.0666666666666667,0.1,0.08333333333333333,0.0,2.7,0.3,1.05,0.6166666666666667,0.4166666666666667,0.03333333333333333,0.75,1.4,0.3,0.6666666666666666,0.5666666666666667,0.25,0.6666666666666666,1.0166666666666666,0.6166666666666667,0.2,0.016666666666666666,1.2666666666666666,0.95,0.8,0.7333333333333333,0.6666666666666666,0.5166666666666667,0.21666666666666667,8,-1.1248561980962952,-0.2055461795920349,-0.9193100185042603
2025.01.06startup_a,startup_a,2025-01-06,3.03125,1.671875,0.234375,1.59375,0.671875,3.109375,2.625,1.265625,0.234375,0.234375,0.078125,1.0625,0.09375,1.234375,0.140625,0.125,0.0,2.5625,0.234375,1.3125,0.453125,0.6875,0.015625,1.046875,1.4375,0.328125,0.796875,0.625,0.359375,1.125,1.28125,0.84375,0.328125,0.09375,1.796875,1.078125,0.890625,0.859375,0.53125,0.34375,0.375,9,-0.2417700330548415,0.1650209849401729,-0.4067910179950144
2025.01.13startup_a,startup_a,2025-01-13,3.1475409836065573,1.0163934426229508,0.21311475409836064,1.8032786885245902,0.6721311475409836,2.8688524590163933,2.557377049180328,1.098360655737705,0.6229508196721312,0.29508196721311475,0.16393442622950818,0.7049180327868853,0.06557377049180328,1.0491803278688525,0.18032786885245902,0.19672131147540983,0.03278688524590164,2.6721311475409837,0.19672131147540983,1.3278688524590163,0.7377049180327869,0.5081967213114754,0.0,1.0327868852459017,1.4918032786885247,0.36065573770491804,0.8360655737704918,0.6229508196721312,0.6229508196721312,1.1639344262295082,1.2622950819672132,0.7704918032786885,0.3770491803278688,0.04918032786885246,1.8032786885245902,1.1311475409836065,0.8032786885245902,0.9836065573770492,0.6557377049180327,0.3770491803278688,0.22950819672131148,10,-0.299974893831035,0.4339346209079717,-0.7339095147390067
