mid,team,date,event_id,onset_s,window_s,label,l10_stage,entropy_slope,det_slope,switch_rate,turnlen_trend,question_density,gap_trend,event_onset_s,event_class,no_prec_entropy,no_prec_switch,no_prec_both
2024.10.14startup_a,startup_a,20241014,0,210.0,60,1,segue,0.3313716845275845,0.3330433889246839,10.0,0.7363636363636364,0.0909090909090909,0.1575757575757574,210.0,TRANSITION,True,False,False
2024.10.14startup_a,startup_a,20241014,1,271.0,60,1,scorecard,-0.3029779093293117,0.1811345649077061,,,,,271.0,INTERIOR_OTHER,True,,False
2024.10.14startup_a,startup_a,20241014,2,318.0,60,1,scorecard,0.2479270274147469,-0.5272587849359878,3.0,,0.75,,318.0,INTERIOR_HANDOFF,True,True,True
2024.10.14startup_a,startup_a,20241014,3,359.0,60,1,scorecard,-0.0784116774845088,-0.1262475361958206,8.0,-0.2666666666666683,0.3333333333333333,-0.2083333333333332,359.0,INTERIOR_HANDOFF,True,False,False
2024.10.14startup_a,startup_a,20241014,4,441.0,60,1,scorecard,0.5895971457117778,-0.0784363143526555,1.0,,0.5,,441.0,TRANSITION,False,False,False
2024.10.14startup_a,startup_a,20241014,5,553.0,60,1,scorecard,0.4970945881074663,-0.2778680542962983,2.0,,0.6666666666666666,,553.0,INTERIOR_HANDOFF,False,True,False
2024.10.14startup_a,startup_a,20241014,6,609.0,60,1,scorecard,0.0488178887368589,0.0241103207093178,5.0,8.542857142857144,0.6666666666666666,-0.1999999999999997,609.0,INTERIOR_OTHER,True,True,True
2024.10.14startup_a,startup_a,20241014,7,927.0,60,1,rock_review,-0.2499903236920684,0.1611071535287705,1.0,,0.3333333333333333,,927.0,INTERIOR_OTHER,True,False,False
2024.10.14startup_a,startup_a,20241014,8,966.0,60,1,rock_review,0.5448798016307794,-0.5093562987764059,3.0,,0.5,,966.0,TRANSITION,False,True,False
2024.10.14startup_a,startup_a,20241014,9,1029.0,60,1,headlines,0.0034114502219602,0.0942510013097879,8.0,1.516666666666666,0.4444444444444444,0.1726190476190476,1029.0,TRANSITION,True,False,False
2024.10.14startup_a,startup_a,20241014,10,1413.0,60,1,ids,0.1173684385881765,-0.2994278478466117,5.0,-2.1714285714285735,0.3333333333333333,0.1999999999999999,1413.0,TRANSITION,True,True,True
2024.10.14startup_a,startup_a,20241014,11,1744.0,60,1,ids,0.053464195406298,-0.0948171037380217,9.0,2.787878787878786,0.1,-0.0750000000000001,1744.0,INTERIOR_OTHER,True,False,False
2024.10.14startup_a,startup_a,20241014,12,1900.0,60,1,ids,0.4421863253080667,-0.1640720081664726,5.0,5.228571428571427,0.1666666666666666,1.3999999999999997,1900.0,INTERIOR_OTHER,False,True,False
2024.10.14startup_a,startup_a,20241014,13,1963.0,60,1,ids,-0.3664719034955345,-0.1259175195439481,7.0,3.511904761904762,0.25,0.4642857142857145,1963.0,TRANSITION,True,True,True
2024.10.14startup_a,startup_a,20241014,14,2052.0,60,1,ids,0.4264803952786342,-0.2557989247551812,4.0,8.8,0.2,,2052.0,INTERIOR_OTHER,False,True,False
2024.10.14startup_a,startup_a,20241014,15,2126.0,60,1,ids,-0.2642262662845449,0.0033325829523324,,,,,2126.0,INTERIOR_OTHER,True,,False
